Timestamp,Product ID,Product Title,Status
2026-03-14 16:06:30,gid://shopify/Product/9046819635426,PILLSBURY-GOLD ATTA -1KG,FAILED - supabase insert
2026-03-14 16:08:58,gid://shopify/Product/9046819635426,PILLSBURY-GOLD ATTA -1KG,FAILED - supabase insert
2026-03-14 16:10:40,gid://shopify/Product/9046819635426,PILLSBURY-GOLD ATTA -1KG,FAILED - supabase insert
2026-03-14 16:12:12,gid://shopify/Product/9046819635426,PILLSBURY-GOLD ATTA -1KG,SUCCESS
2026-03-14 16:12:24,gid://shopify/Product/9046820159714,PILLSBURY-MULTIGREAN ATTA-1KG,SUCCESS
2026-03-14 16:12:36,gid://shopify/Product/9046820323554,ROYAL GOLD-CHAKKI ATTA-10KG,SUCCESS
2026-03-14 16:12:49,gid://shopify/Product/9046820585698,AASHIRVAAD-SELECT (SHARBATI) ATTA-10 KG,SUCCESS
2026-03-14 16:15:17,gid://shopify/Product/9046819635426,PILLSBURY-GOLD ATTA -1KG,SUCCESS
2026-03-14 16:15:32,gid://shopify/Product/9046820159714,PILLSBURY-MULTIGREAN ATTA-1KG,SUCCESS
2026-03-14 16:15:44,gid://shopify/Product/9046820323554,ROYAL GOLD-CHAKKI ATTA-10KG,SUCCESS
2026-03-14 16:15:57,gid://shopify/Product/9046820585698,AASHIRVAAD-SELECT (SHARBATI) ATTA-10 KG,SUCCESS
2026-03-14 16:16:09,gid://shopify/Product/9046821077218,SOHAM-CHAKKI ATTA-5KG,SUCCESS
2026-03-14 16:16:23,gid://shopify/Product/9046821241058,ROYAL GOLD-GLUTEN FREE ATTA-5KG,SUCCESS
2026-03-14 16:16:33,gid://shopify/Product/9046821404898,ASHIRWAD- CHAKKI-10KG,SUCCESS
2026-03-14 16:16:45,gid://shopify/Product/9046821863650,DEEP-CHAKKI ATTA-5KG,SUCCESS
2026-03-14 16:16:58,gid://shopify/Product/9046821994722,SAURABHI-CHAKKI ATTA-5KG,SUCCESS
2026-03-14 16:17:10,gid://shopify/Product/9046822355170,WISER CHAKKI ATTA 5Kg,SUCCESS
2026-03-14 16:17:23,gid://shopify/Product/9046822519010,WISER CHAKKI ATTA 10Kg,SUCCESS
2026-03-14 16:17:36,gid://shopify/Product/9046822682850,AASHIRVAAD CHAKKI ATTA 5kg,SUCCESS
2026-03-14 16:17:50,gid://shopify/Product/9046822879458,GREWALL CHAKKI ATTA-10KG,SUCCESS
2026-03-14 16:18:02,gid://shopify/Product/9046823010530,DHABA DELIGHT-GOLD ATTA-10KG,SUCCESS
2026-03-14 16:18:13,gid://shopify/Product/9046823174370,FARMER-CHAKKI ATTA-5KG,SUCCESS
2026-03-14 16:18:27,gid://shopify/Product/9046823370978,PATTU-CHAKKI ATTA-1KG,SUCCESS
2026-03-14 16:18:37,gid://shopify/Product/9046823600354,HINDUSTAN-ATTA -1KG,SUCCESS
2026-03-14 16:18:48,gid://shopify/Product/9046823764194,GREWAL-CHAKKI ATTA-10 KG,SUCCESS
2026-03-14 16:19:00,gid://shopify/Product/9046824386786,ROYAL GOLD-CHAKKI ATTA-5GM,SUCCESS
2026-03-14 16:19:11,gid://shopify/Product/9046824485090,ROYAL GOLD-CHAKKI ATTA-1 KG,SUCCESS
2026-03-14 16:19:23,gid://shopify/Product/9046824681698,AASHIRVAAD-WHOLE WHEAT-5 KG,SUCCESS
